Team,Player_Number,Player_Name,Position,Height,Notes,Data_Source
Namuwongo Blazers,TBD,Unknown Player 1,Guard,Unknown,Key player in 132-58 blowout win,Game observation needed
Namuwongo Blazers,TBD,Unknown Player 2,Forward,Unknown,Contributor to 101.0 PPG average,Game observation needed
Namuwongo Blazers,TBD,Unknown Player 3,Center,Unknown,Rebounding presence,Game observation needed
Namuwongo Blazers,TBD,Team Captain,Unknown,Unknown,Led team to first NBL Uganda title,Social media/news needed
Namuwongo Blazers,TBD,Starting Guard,Guard,Unknown,High scorer in Group D games,Game observation needed
Johannesburg Giants,TBD,Unknown Player 1,Guard,Unknown,Key to 5-0 undefeated record,Game observation needed
Johannesburg Giants,TBD,Unknown Player 2,Forward,Unknown,Strong defender (56.0 Opp PPG),Game observation needed
Johannesburg Giants,TBD,Unknown Player 3,Forward,Unknown,Contributor to 72.4 PPG,Game observation needed
Johannesburg Giants,TBD,Unknown Player 4,Center,Unknown,Rebounding anchor,Game observation needed
Johannesburg Giants,TBD,Team Leader,Unknown,Unknown,Led SA National Championship win,Social media/news needed
Dar City,1,Solo Diabate,Forward/Center,6'8",Former BAL champion with AS Salé (Morocco),Confirmed - BAL history
Dar City,2,Raphiael Putney,Guard/Forward,6'4",High-scoring guard/forward - Primary offensive weapon,Elite 16 preliminary games
Dar City,TBD,Unknown Player 3,Guard,Unknown,Supporting scorer (92.5 PPG team average),Game observation needed
Dar City,TBD,Unknown Player 4,Forward,Unknown,Contributor to +65 point differential,Game observation needed
Dar City,TBD,Unknown Player 5,Center,Unknown,Inside presence,Game observation needed
